product_id	product_name	category	subcategory	brand	price	avg_rating	total_reviews	positive_reviews	mixed_reviews	negative_reviews	url	thumbnail_url
8652204	남성 하이킹 투인원 집오프	등산/하이킹	기타	QUECHUA	24900	0.0	0	0	0	0	https://www.decathlon.co.kr/r/69570cd7-b03c-4d61-9d3a-c2706ede7792_남성-하이킹-투인원-집오프-바지-mh100-quechua-8652204.html	https://contents.mediadecathlon.com/p2198679/k$39d3a730f598d4b90e225f068fb5ff2e/남성-하이킹-투인원-집오프-바지-mh100-quechua-8652204.jpg
8916236	등산 백팩	등산/하이킹	가방	QUECHUA	129000	0.0	0	0	0	0	https://www.decathlon.co.kr/r/45fb8bb9-881a-48ff-8d0a-bf771292d472_등산-백팩-38l-mh500-quechua-8916236.html	https://contents.mediadecathlon.com/p2861552/k$544e4721ca7587210704d115c159a152/등산-백팩-38l-mh500-quechua-8916236.jpg
8785247	남성 경량 하이킹 레인	등산/하이킹	기타	QUECHUA	159000	4.8	2	2	0	0	https://www.decathlon.co.kr/r/b1d25295-0c02-4803-b387-f8fc64e1348d_남성-경량-하이킹-레인-재킷-mh500-quechua-8785247.html	https://contents.mediadecathlon.com/p2437746/k$a105c178b1dbfae0aeb8b7f778a4fdac/남성-경량-하이킹-레인-재킷-mh500-quechua-8785247.jpg
8529024	등산 백팩 20L	등산/하이킹	가방	QUECHUA	19900	5.0	10	10	0	0	https://www.decathlon.co.kr/r/1e9eca5e-07e5-40a4-81c3-3f504704c3b2_등산-백팩-20l-아르페나즈-nh100-quechua-8529024.html	https://contents.mediadecathlon.com/p2583283/k$d0dd4e77b2258dc73f779fcdb2789aa8/등산-백팩-20l-아르페나즈-nh100-quechua-8529024.jpg
8916234	등산 백팩	등산/하이킹	가방	QUECHUA	99900	4.9	3	3	0	0	https://www.decathlon.co.kr/r/f1363e08-082e-4eb2-b254-d51e1c40f67d_등산-백팩-25l-mh500-quechua-8916234.html	https://contents.mediadecathlon.com/p2861500/k$22315974f819c04ce8b07dd141f7beaa/등산-백팩-25l-mh500-quechua-8916234.jpg
8316244	남성 하이킹 반팔	등산/하이킹	기타	QUECHUA	9900	5.0	18	18	0	0	https://www.decathlon.co.kr/r/1c444771-5de8-4908-9d35-d696b00f92bf_남성-하이킹-반팔-티-mh100-quechua-8316244.html	https://contents.mediadecathlon.com/p3016501/k$1d8e727af7ab6e301af6b48322b646c6/남성-하이킹-반팔-티-mh100-quechua-8316244.jpg
8572546	남성 백팩킹 카고 바지	스포츠	가방	DECATHLON	38900	4.8	2	2	0	0	https://www.decathlon.co.kr/r/e11f887f-8a26-411a-bfe2-8cd95d93d1b2_남성-백팩킹-카고-바지-트래블-500-forclaz-8572546.html	https://contents.mediadecathlon.com/p2599261/k$63c1c31f3f698cef0e98c2b318bde387/남성-백패킹-카고-바지-트래블-500-forclaz-8572546.jpg
8852944	남성 백팩킹 방풍발수	스포츠	가방	DECATHLON	74900	0.0	0	0	0	0	https://www.decathlon.co.kr/r/0370a64d-c6a3-49ca-9c91-70beca669726_남성-백팩킹-방풍발수-바지-mt900-simond-8852944.html	https://contents.mediadecathlon.com/p2660312/k$6de998776610f506bd36a3a13e1941ab/남성-백패킹-방풍발수-바지-mt900-simond-8852944.jpg
8544763	여성 백팩킹 투인원 집오프	스포츠	가방	DECATHLON	38900	4.8	2	2	0	0	https://www.decathlon.co.kr/r/60949031-4af0-4554-a305-ddb06765d40c_여성-백팩킹-투인원-집오프-바지-mt100-forclaz-8544763.html	https://contents.mediadecathlon.com/p2599216/k$221369dafdb07fefe3ee48ef105eb90a/여성-백패킹-투인원-집오프-바지-mt100-forclaz-8544763.jpg
8316437	여성 메리노울 백팩킹 긴팔 베이스 레이어	스포츠	가방	DECATHLON	39900	0.0	0	0	0	0	https://www.decathlon.co.kr/r/72a8e3b8-164b-44bc-a811-356238ee4bd5_여성-메리노울-백팩킹-긴팔-베이스-레이어-트래블-100-simond-8316437.html	https://contents.mediadecathlon.com/p2660430/k$788a5edbddfb0b25ebf2d8842f72315e/여성-메리노울-백패킹-긴팔-베이스-레이어-트래블-100-simond-8316437.jpg
8917639	남성 하이킹 바지	등산/하이킹	기타	QUECHUA	54900	5.0	14	14	0	0	https://www.decathlon.co.kr/r/d660897b-e5ca-4e60-9338-05faeef6d3ad_남성-하이킹-바지-스트레치-mh500-quechua-8917639.html	https://contents.mediadecathlon.com/p2860421/k$b902602201c0fadbacc13d465adb766d/남성-하이킹-바지-스트레치-mh500-quechua-8917639.jpg
8787845	백팩킹 오거나이저 백팩 40L	스포츠	가방	DECATHLON	109000	5.0	4	4	0	0	https://www.decathlon.co.kr/r/dfa61a9f-76ce-4c1e-8e6b-77b21c2c6412_백팩킹-오거나이저-백팩-40l-트래블-500-forclaz-8787845.html	https://contents.mediadecathlon.com/p2479761/k$1bf1e69d545811a27272eea97a6a0640/백패킹-오거나이저-백팩-40l-트래블-500-forclaz-8787845.jpg
8608070	여성 백팩킹	스포츠	가방	DECATHLON	59900	0.0	0	0	0	0	https://www.decathlon.co.kr/r/374ef037-3be4-4ca5-94dc-b31acfe2e461_여성-백팩킹-바지-mt500-simond-8608070.html	https://contents.mediadecathlon.com/p2511297/k$ba82f78a3d7c5d5ae948fd3ebf2399d5/여성-백패킹-바지-mt500-simond-8608070.jpg
8612171	남성 경량 하이킹 레인	등산/하이킹	기타	QUECHUA	159000	4.8	2	2	0	0	https://www.decathlon.co.kr/r/ee8555b6-1e4b-49fd-9db3-c0adc196f050_남성-경량-하이킹-레인-재킷-mh500-quechua-8612171.html	https://contents.mediadecathlon.com/p2153625/k$d3ce5c972b8bdb385735c64d0aecf365/남성-경량-하이킹-레인-재킷-mh500-quechua-8612171.jpg
8735937	백팩킹 오거나이저 백팩 40L	스포츠	가방	DECATHLON	109000	5.0	4	4	0	0	https://www.decathlon.co.kr/r/c453cd06-5df2-4339-817b-8b04f9d696b4_백팩킹-오거나이저-백팩-40l-트래블-500-forclaz-8735937.html	https://contents.mediadecathlon.com/p2606744/k$ab4fe1eba6fe1b45729458558a23a8ab/백패킹-오거나이저-백팩-40l-트래블-500-forclaz-8735937.jpg
8862055	남성 하이킹 윈드 재킷	등산/하이킹	의류	QUECHUA	79900	5.0	2	2	0	0	https://www.decathlon.co.kr/r/2abcfaa3-f77c-4064-a6ca-a24efab5b68c_남성-하이킹-윈드-재킷-헬륨-900-quechua-8862055.html	https://contents.mediadecathlon.com/p2626058/k$d235ecc83c3f21e5b1d3c9d3b1be2fe8/남성-하이킹-윈드-재킷-헬륨-900-quechua-8862055.jpg
8609386	남성 메리노울 백팩킹 하프집 베이스	스포츠	가방	DECATHLON	75900	4.9	2	2	0	0	https://www.decathlon.co.kr/r/842391c4-8e4f-4217-94bc-fe320e322db4_남성-메리노울-백팩킹-하프집-베이스-레이어-mt900-simond-8609386.html	https://contents.mediadecathlon.com/p2511236/k$446b13e1b80c9b9768fc47af508b8a90/남성-메리노울-백패킹-하프집-베이스레이어-mt900-simond-8609386.jpg
8666242	남성 백팩킹 투인원 집오프	스포츠	가방	DECATHLON	38900	0.0	0	0	0	0	https://www.decathlon.co.kr/r/22d6f249-14a3-4fbd-9325-c912450e22a5_남성-백팩킹-투인원-집오프-바지-mt100-forclaz-8666242.html	https://contents.mediadecathlon.com/p2599267/k$516ee4a75ad144463a1d07633a576923/남성-백패킹-투인원-집오프-바지-mt100-forclaz-8666242.jpg
8529019	등산 백팩 20L	등산/하이킹	가방	QUECHUA	19900	5.0	10	10	0	0	https://www.decathlon.co.kr/r/3b0d88ba-e9a4-448f-88a8-4858f374c139_등산-백팩-20l-아르페나즈-nh100-quechua-8529019.html	https://contents.mediadecathlon.com/p2853009/k$cc0af318a781c9792b76d7e3be6417d9/등산-백팩-20l-아르페나즈-nh100-quechua-8529019.jpg
8872861	남성 러닝 경량 싱글렛	러닝	의류	KIPRUN	34900	5.0	42	42	0	0	https://www.decathlon.co.kr/r/5a0beee3-2295-4f65-8a4c-0999657f9031_남성-러닝-경량-싱글렛-900-울트라라이트-kiprun-8872861.html	https://contents.mediadecathlon.com/p2841931/k$6dc0894fa50cad0a8127a3e81ce14b32/남성-러닝-경량-싱글렛-900-울트라라이트-kiprun-8872861.jpg
8772968	남성 8인치 러닝 투인원 쇼츠 런	러닝	의류	KALENJI	32900	5.0	24	24	0	0	https://www.decathlon.co.kr/r/e8c0293c-d644-4b64-80d8-29c7440a3318_남성-8인치-러닝-투인원-쇼츠-런-드라이-550-kalenji-8772968.html	https://contents.mediadecathlon.com/p2924609/k$b13afe4b5fc9f2555c1a52a330c877ae/남성-8인치-러닝-투인원-쇼츠-런-드라이-550-kalenji-8772968.jpg
